risk_category,support_positive,support_negative,true_positives,false_positives,false_negatives,precision,recall,f1,false_negative_rate,false_positive_rate
exclusivity,90,5336,84,809,6,0.094,0.933,0.171,0.067,0.152
liability_risk,78,5348,76,559,2,0.12,0.974,0.213,0.026,0.105
change_of_control,93,5333,91,654,2,0.122,0.978,0.217,0.022,0.123
revenue_risk,149,5277,130,695,19,0.158,0.872,0.267,0.128,0.132
termination_risk,89,5337,81,367,8,0.181,0.91,0.302,0.09,0.069
ip_risk,137,5289,123,359,14,0.255,0.898,0.397,0.102,0.068
renewal_expiration,70,5356,55,70,15,0.44,0.786,0.564,0.214,0.013
indemnification,33,5393,29,18,4,0.617,0.879,0.725,0.121,0.003
