category,baseline_f1,baseline_precision,baseline_recall,embed_f1,embed_precision,embed_recall,deberta_f1,deberta_precision,deberta_recall,llm_f1,llm_precision,llm_recall,hybrid_f1,hybrid_precision,hybrid_recall,best_approach
change_of_control,0.217,0.122,0.978,0.196,0.11,0.914,0.151,0.083,0.839,0.667,1.0,0.5,0.857,1.0,0.75,hybrid
exclusivity,0.171,0.094,0.933,0.066,0.034,0.989,0.143,0.078,0.844,1.0,1.0,1.0,1.0,1.0,1.0,llm
indemnification,0.725,0.617,0.879,0.212,0.119,0.97,0.364,0.224,0.97,0.0,0.0,0.0,0.667,1.0,0.5,baseline
ip_risk,0.397,0.255,0.898,0.259,0.152,0.876,0.224,0.127,0.942,0.889,1.0,0.8,1.0,1.0,1.0,hybrid
liability_risk,0.213,0.12,0.974,0.239,0.139,0.846,0.114,0.062,0.756,0.5,0.5,0.5,0.8,0.667,1.0,hybrid
renewal_expiration,0.564,0.44,0.786,0.28,0.171,0.771,0.154,0.084,0.871,0.857,1.0,0.75,0.667,1.0,0.5,llm
revenue_risk,0.267,0.158,0.872,0.142,0.077,0.933,0.2,0.112,0.913,0.75,1.0,0.6,0.8,0.8,0.8,hybrid
termination_risk,0.302,0.181,0.91,0.104,0.055,0.955,0.153,0.084,0.854,0.857,1.0,0.75,0.857,1.0,0.75,llm
